"site","year","crop","Descriptors","grouping","modification","yr_post_amelioration","yield (modified)","yield  (un modified)","data source","price"
"Buckleboo",NA,NA,"Rip.45_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Cummins",NA,NA,"Rip.30_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Karkoo",NA,NA,"Rip.40_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Kooloonong_chickpea",NA,NA,"Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",2,0,0,"trial data",0
"Kooloonong_chickpea",NA,NA,"Rip.50_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Kooloonong_lentil",NA,NA,"Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",2,0,0,"trial data",0
"Kooloonong_lentil",NA,NA,"Rip.50_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Kooloonong_lupin",NA,NA,"Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",2,0,0,"trial data",0
"Kooloonong_lupin",NA,NA,"Rip.50_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Kybunga",NA,NA,"Rip.30_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Kybunga",NA,NA,"Rip.50_Cl.surface","deep ripping > 40cm amendment","deep ripping",2,0,0,"trial data",0
"Kybunga",NA,NA,"Rip.50_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Malinong",NA,NA,"Rip.30_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Malinong",NA,NA,"Rip.40_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Sherwood",NA,NA,"Rip.30_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Tempy",NA,NA,"Rip.50_Cl.deep","deep ripping > 40cm amendment","deep ripping",2,0,0,"trial data",0
"Tempy",NA,NA,"Rip.50_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Warnertown",NA,NA,"Rip.30_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Warnertown",NA,NA,"Rip.50_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Wynarka",NA,NA,"Rip.30_none","deep ripping < 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Wynarka",NA,NA,"Rip.60_none","deep ripping > 40cm no amendment","deep ripping",2,0,0,"trial data",0
"Buckleboo",NA,NA,"Rip.35_none","deep ripping < 40cm no amendment","deep ripping",3,0,0,"trial data",0
"Buckleboo",NA,NA,"Rip.45_none","deep ripping > 40cm no amendment","deep ripping",3,0,0,"trial data",0
"Cummins",NA,NA,"Rip.30_none","deep ripping < 40cm no amendment","deep ripping",3,0,0,"trial data",0
